Ente,Candidato,Voti totali,Liste/Gruppi,
ALLEIN,MARGUERETTAZ RUDI FRANCO,63,VALLEE D'AOSTE,
ALLEIN,VIERIN LAURENT,43,UNION VALDOTAINE PROGRESSISTE,
ALLEIN,COGNETTA ROBERTO UGO MASSIMO,21,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,
ALLEIN,GUICHARDAZ JEAN PIERRE,7,AUTONOMIE LIBERTE' DEMOCRATIE,
ALLEIN,MELONI GIORGIA,4,FRATELLI D'ITALIA,
ALLEIN,SPELGATTI NICOLETTA,2,LEGA NORD,
ALLEIN,LADU ANDREA,1,CASAPOUND ITALIA,
ALLEIN,BRINGHEN LUCA,0,UNIONE DI CENTRO,
ALLEIN,BUILLET FABRIZIO,0,FARE PER FERMARE IL DECLINO,
ALLEIN,CAMPION EROS,0,NATION VAL D'OUTA,
ANTEY-SAINT-ANDRE',MARGUERETTAZ RUDI FRANCO,107,VALLEE D'AOSTE,
ANTEY-SAINT-ANDRE',VIERIN LAURENT,100,UNION VALDOTAINE PROGRESSISTE,
ANTEY-SAINT-ANDRE',COGNETTA ROBERTO UGO MASSIMO,64,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,
ANTEY-SAINT-ANDRE',GUICHARDAZ JEAN PIERRE,62,AUTONOMIE LIBERTE' DEMOCRATIE,
ANTEY-SAINT-ANDRE',MELONI GIORGIA,18,FRATELLI D'ITALIA,
ANTEY-SAINT-ANDRE',SPELGATTI NICOLETTA,17,LEGA NORD,
ANTEY-SAINT-ANDRE',BRINGHEN LUCA,4,UNIONE DI CENTRO,
ANTEY-SAINT-ANDRE',BUILLET FABRIZIO,3,FARE PER FERMARE IL DECLINO,
ANTEY-SAINT-ANDRE',LADU ANDREA,0,CASAPOUND ITALIA,
ANTEY-SAINT-ANDRE',CAMPION EROS,0,NATION VAL D'OUTA,
AOSTA,GUICHARDAZ JEAN PIERRE,5077,AUTONOMIE LIBERTE' DEMOCRATIE,
AOSTA,MARGUERETTAZ RUDI FRANCO,4407,VALLEE D'AOSTE,
AOSTA,COGNETTA ROBERTO UGO MASSIMO,3839,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,
AOSTA,VIERIN LAURENT,3250,UNION VALDOTAINE PROGRESSISTE,
AOSTA,MELONI GIORGIA,1094,FRATELLI D'ITALIA,
AOSTA,SPELGATTI NICOLETTA,703,LEGA NORD,
AOSTA,BRINGHEN LUCA,532,UNIONE DI CENTRO,
AOSTA,BUILLET FABRIZIO,249,FARE PER FERMARE IL DECLINO,
AOSTA,LADU ANDREA,140,CASAPOUND ITALIA,
AOSTA,CAMPION EROS,43,NATION VAL D'OUTA,
ARNAD,VIERIN LAURENT,290,UNION VALDOTAINE PROGRESSISTE,
ARNAD,MARGUERETTAZ RUDI FRANCO,219,VALLEE D'AOSTE,
ARNAD,COGNETTA ROBERTO UGO MASSIMO,117,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,
ARNAD,GUICHARDAZ JEAN PIERRE,110,AUTONOMIE LIBERTE' DEMOCRATIE,
ARNAD,SPELGATTI NICOLETTA,20,LEGA NORD,
ARNAD,MELONI GIORGIA,18,FRATELLI D'ITALIA,
ARNAD,BRINGHEN LUCA,11,UNIONE DI CENTRO,
ARNAD,BUILLET FABRIZIO,3,FARE PER FERMARE IL DECLINO,
ARNAD,LADU ANDREA,0,CASAPOUND ITALIA,
ARNAD,CAMPION EROS,0,NATION VAL D'OUTA,
ARVIER,GUICHARDAZ JEAN PIERRE,162,AUTONOMIE LIBERTE' DEMOCRATIE,
ARVIER,MARGUERETTAZ RUDI FRANCO,152,VALLEE D'AOSTE,
ARVIER,VIERIN LAURENT,107,UNION VALDOTAINE PROGRESSISTE,
ARVIER,COGNETTA ROBERTO UGO MASSIMO,70,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,
ARVIER,SPELGATTI NICOLETTA,20,LEGA NORD,
ARVIER,MELONI GIORGIA,8,FRATELLI D'ITALIA,
ARVIER,BUILLET FABRIZIO,3,FARE PER FERMARE IL DECLINO,
ARVIER,LADU ANDREA,3,CASAPOUND ITALIA,
ARVIER,BRINGHEN LUCA,1,UNIONE DI CENTRO,
ARVIER,CAMPION EROS,0,NATION VAL D'OUTA,
AVISE,VIERIN LAURENT,68,UNION VALDOTAINE PROGRESSISTE,
AVISE,GUICHARDAZ JEAN PIERRE,44,AUTONOMIE LIBERTE' DEMOCRATIE,
AVISE,MARGUERETTAZ RUDI FRANCO,34,VALLEE D'AOSTE,
AVISE,COGNETTA ROBERTO UGO MASSIMO,23,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,
AVISE,MELONI GIORGIA,3,FRATELLI D'ITALIA,
AVISE,BRINGHEN LUCA,2,UNIONE DI CENTRO,
AVISE,BUILLET FABRIZIO,2,FARE PER FERMARE IL DECLINO,
AVISE,LADU ANDREA,2,CASAPOUND ITALIA,
AVISE,SPELGATTI NICOLETTA,2,LEGA NORD,
AVISE,CAMPION EROS,0,NATION VAL D'OUTA,
AYAS,VIERIN LAURENT,225,UNION VALDOTAINE PROGRESSISTE,
AYAS,MARGUERETTAZ RUDI FRANCO,217,VALLEE D'AOSTE,
AYAS,COGNETTA ROBERTO UGO MASSIMO,95,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,
AYAS,GUICHARDAZ JEAN PIERRE,68,AUTONOMIE LIBERTE' DEMOCRATIE,
AYAS,SPELGATTI NICOLETTA,32,LEGA NORD,
AYAS,MELONI GIORGIA,24,FRATELLI D'ITALIA,
AYAS,BUILLET FABRIZIO,12,FARE PER FERMARE IL DECLINO,
AYAS,BRINGHEN LUCA,11,UNIONE DI CENTRO,
AYAS,LADU ANDREA,1,CASAPOUND ITALIA,
AYAS,CAMPION EROS,1,NATION VAL D'OUTA,
AYMAVILLES,VIERIN LAURENT,396,UNION VALDOTAINE PROGRESSISTE,
AYMAVILLES,MARGUERETTAZ RUDI FRANCO,242,VALLEE D'AOSTE,
AYMAVILLES,COGNETTA ROBERTO UGO MASSIMO,222,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,
AYMAVILLES,GUICHARDAZ JEAN PIERRE,204,AUTONOMIE LIBERTE' DEMOCRATIE,
AYMAVILLES,SPELGATTI NICOLETTA,39,LEGA NORD,
AYMAVILLES,MELONI GIORGIA,34,FRATELLI D'ITALIA,
AYMAVILLES,BUILLET FABRIZIO,12,FARE PER FERMARE IL DECLINO,
AYMAVILLES,BRINGHEN LUCA,6,UNIONE DI CENTRO,
AYMAVILLES,CAMPION EROS,3,NATION VAL D'OUTA,
AYMAVILLES,LADU ANDREA,2,CASAPOUND ITALIA,
BARD,MARGUERETTAZ RUDI FRANCO,34,VALLEE D'AOSTE,
BARD,VIERIN LAURENT,26,UNION VALDOTAINE PROGRESSISTE,
BARD,COGNETTA ROBERTO UGO MASSIMO,10,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,
BARD,GUICHARDAZ JEAN PIERRE,9,AUTONOMIE LIBERTE' DEMOCRATIE,
BARD,MELONI GIORGIA,6,FRATELLI D'ITALIA,
BARD,SPELGATTI NICOLETTA,1,LEGA NORD,
BARD,BUILLET FABRIZIO,1,FARE PER FERMARE IL DECLINO,
BARD,BRINGHEN LUCA,1,UNIONE DI CENTRO,
BARD,LADU ANDREA,0,CASAPOUND ITALIA,
BARD,CAMPION EROS,0,NATION VAL D'OUTA,
BIONAZ,VIERIN LAURENT,55,UNION VALDOTAINE PROGRESSISTE,
BIONAZ,MARGUERETTAZ RUDI FRANCO,47,VALLEE D'AOSTE,
BIONAZ,COGNETTA ROBERTO UGO MASSIMO,26,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,
BIONAZ,GUICHARDAZ JEAN PIERRE,14,AUTONOMIE LIBERTE' DEMOCRATIE,
BIONAZ,MELONI GIORGIA,3,FRATELLI D'ITALIA,
BIONAZ,SPELGATTI NICOLETTA,2,LEGA NORD,
BIONAZ,LADU ANDREA,1,CASAPOUND ITALIA,
BIONAZ,BRINGHEN LUCA,1,UNIONE DI CENTRO,
BIONAZ,BUILLET FABRIZIO,1,FARE PER FERMARE IL DECLINO,
BIONAZ,CAMPION EROS,0,NATION VAL D'OUTA,
BRISSOGNE,VIERIN LAURENT,168,UNION VALDOTAINE PROGRESSISTE,
BRISSOGNE,MARGUERETTAZ RUDI FRANCO,152,VALLEE D'AOSTE,
BRISSOGNE,COGNETTA ROBERTO UGO MASSIMO,148,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,
BRISSOGNE,GUICHARDAZ JEAN PIERRE,108,AUTONOMIE LIBERTE' DEMOCRATIE,
BRISSOGNE,MELONI GIORGIA,28,FRATELLI D'ITALIA,
BRISSOGNE,SPELGATTI NICOLETTA,17,LEGA NORD,
BRISSOGNE,BRINGHEN LUCA,5,UNIONE DI CENTRO,
BRISSOGNE,LADU ANDREA,4,CASAPOUND ITALIA,
BRISSOGNE,BUILLET FABRIZIO,2,FARE PER FERMARE IL DECLINO,
BRISSOGNE,CAMPION EROS,2,NATION VAL D'OUTA,
BRUSSON,MARGUERETTAZ RUDI FRANCO,187,VALLEE D'AOSTE,
BRUSSON,VIERIN LAURENT,173,UNION VALDOTAINE PROGRESSISTE,
BRUSSON,COGNETTA ROBERTO UGO MASSIMO,72,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,
BRUSSON,GUICHARDAZ JEAN PIERRE,33,AUTONOMIE LIBERTE' DEMOCRATIE,
BRUSSON,SPELGATTI NICOLETTA,23,LEGA NORD,
BRUSSON,MELONI GIORGIA,10,FRATELLI D'ITALIA,
BRUSSON,BUILLET FABRIZIO,3,FARE PER FERMARE IL DECLINO,
BRUSSON,LADU ANDREA,3,CASAPOUND ITALIA,
BRUSSON,BRINGHEN LUCA,2,UNIONE DI CENTRO,
BRUSSON,CAMPION EROS,0,NATION VAL D'OUTA,
CHALLAND-SAINT-ANSELME,MARGUERETTAZ RUDI FRANCO,178,VALLEE D'AOSTE,
CHALLAND-SAINT-ANSELME,VIERIN LAURENT,127,UNION VALDOTAINE PROGRESSISTE,
CHALLAND-SAINT-ANSELME,GUICHARDAZ JEAN PIERRE,40,AUTONOMIE LIBERTE' DEMOCRATIE,
CHALLAND-SAINT-ANSELME,COGNETTA ROBERTO UGO MASSIMO,38,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,
CHALLAND-SAINT-ANSELME,SPELGATTI NICOLETTA,25,LEGA NORD,
CHALLAND-SAINT-ANSELME,MELONI GIORGIA,12,FRATELLI D'ITALIA,
CHALLAND-SAINT-ANSELME,BRINGHEN LUCA,7,UNIONE DI CENTRO,
CHALLAND-SAINT-ANSELME,LADU ANDREA,1,CASAPOUND ITALIA,
CHALLAND-SAINT-ANSELME,BUILLET FABRIZIO,0,FARE PER FERMARE IL DECLINO,
CHALLAND-SAINT-ANSELME,CAMPION EROS,0,NATION VAL D'OUTA,
CHALLAND-SAINT-VICTOR,MARGUERETTAZ RUDI FRANCO,147,VALLEE D'AOSTE,
CHALLAND-SAINT-VICTOR,VIERIN LAURENT,83,UNION VALDOTAINE PROGRESSISTE,
CHALLAND-SAINT-VICTOR,COGNETTA ROBERTO UGO MASSIMO,51,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,
CHALLAND-SAINT-VICTOR,GUICHARDAZ JEAN PIERRE,30,AUTONOMIE LIBERTE' DEMOCRATIE,
CHALLAND-SAINT-VICTOR,SPELGATTI NICOLETTA,19,LEGA NORD,
CHALLAND-SAINT-VICTOR,MELONI GIORGIA,9,FRATELLI D'ITALIA,
CHALLAND-SAINT-VICTOR,BRINGHEN LUCA,6,UNIONE DI CENTRO,
CHALLAND-SAINT-VICTOR,BUILLET FABRIZIO,2,FARE PER FERMARE IL DECLINO,
CHALLAND-SAINT-VICTOR,LADU ANDREA,0,CASAPOUND ITALIA,
CHALLAND-SAINT-VICTOR,CAMPION EROS,0,NATION VAL D'OUTA,
CHAMBAVE,VIERIN LAURENT,180,UNION VALDOTAINE PROGRESSISTE,
CHAMBAVE,MARGUERETTAZ RUDI FRANCO,155,VALLEE D'AOSTE,
CHAMBAVE,GUICHARDAZ JEAN PIERRE,128,AUTONOMIE LIBERTE' DEMOCRATIE,
CHAMBAVE,COGNETTA ROBERTO UGO MASSIMO,76,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,
CHAMBAVE,MELONI GIORGIA,19,FRATELLI D'ITALIA,
CHAMBAVE,SPELGATTI NICOLETTA,11,LEGA NORD,
CHAMBAVE,BRINGHEN LUCA,8,UNIONE DI CENTRO,
CHAMBAVE,BUILLET FABRIZIO,2,FARE PER FERMARE IL DECLINO,
CHAMBAVE,LADU ANDREA,1,CASAPOUND ITALIA,
CHAMBAVE,CAMPION EROS,1,NATION VAL D'OUTA,
CHAMOIS,MARGUERETTAZ RUDI FRANCO,22,VALLEE D'AOSTE,
CHAMOIS,VIERIN LAURENT,15,UNION VALDOTAINE PROGRESSISTE,
CHAMOIS,GUICHARDAZ JEAN PIERRE,13,AUTONOMIE LIBERTE' DEMOCRATIE,
CHAMOIS,COGNETTA ROBERTO UGO MASSIMO,7,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,
CHAMOIS,SPELGATTI NICOLETTA,4,LEGA NORD,
CHAMOIS,CAMPION EROS,2,NATION VAL D'OUTA,
CHAMOIS,BRINGHEN LUCA,1,UNIONE DI CENTRO,
CHAMOIS,BUILLET FABRIZIO,1,FARE PER FERMARE IL DECLINO,
CHAMOIS,MELONI GIORGIA,0,FRATELLI D'ITALIA,
CHAMOIS,LADU ANDREA,0,CASAPOUND ITALIA,
CHAMPDEPRAZ,MARGUERETTAZ RUDI FRANCO,189,VALLEE D'AOSTE,
CHAMPDEPRAZ,VIERIN LAURENT,91,UNION VALDOTAINE PROGRESSISTE,
CHAMPDEPRAZ,GUICHARDAZ JEAN PIERRE,73,AUTONOMIE LIBERTE' DEMOCRATIE,
CHAMPDEPRAZ,COGNETTA ROBERTO UGO MASSIMO,68,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,
CHAMPDEPRAZ,MELONI GIORGIA,7,FRATELLI D'ITALIA,
CHAMPDEPRAZ,SPELGATTI NICOLETTA,3,LEGA NORD,
CHAMPDEPRAZ,LADU ANDREA,2,CASAPOUND ITALIA,
CHAMPDEPRAZ,BUILLET FABRIZIO,2,FARE PER FERMARE IL DECLINO,
CHAMPDEPRAZ,BRINGHEN LUCA,1,UNIONE DI CENTRO,
CHAMPDEPRAZ,CAMPION EROS,0,NATION VAL D'OUTA,
CHAMPORCHER,VIERIN LAURENT,81,UNION VALDOTAINE PROGRESSISTE,
CHAMPORCHER,MARGUERETTAZ RUDI FRANCO,63,VALLEE D'AOSTE,
CHAMPORCHER,GUICHARDAZ JEAN PIERRE,48,AUTONOMIE LIBERTE' DEMOCRATIE,
CHAMPORCHER,COGNETTA ROBERTO UGO MASSIMO,41,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,
CHAMPORCHER,SPELGATTI NICOLETTA,5,LEGA NORD,
CHAMPORCHER,MELONI GIORGIA,4,FRATELLI D'ITALIA,
CHAMPORCHER,BRINGHEN LUCA,2,UNIONE DI CENTRO,
CHAMPORCHER,BUILLET FABRIZIO,1,FARE PER FERMARE IL DECLINO,
CHAMPORCHER,LADU ANDREA,0,CASAPOUND ITALIA,
CHAMPORCHER,CAMPION EROS,0,NATION VAL D'OUTA,
CHARVENSOD,VIERIN LAURENT,377,UNION VALDOTAINE PROGRESSISTE,
CHARVENSOD,MARGUERETTAZ RUDI FRANCO,331,VALLEE D'AOSTE,
CHARVENSOD,COGNETTA ROBERTO UGO MASSIMO,315,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,
CHARVENSOD,GUICHARDAZ JEAN PIERRE,273,AUTONOMIE LIBERTE' DEMOCRATIE,
CHARVENSOD,MELONI GIORGIA,43,FRATELLI D'ITALIA,
CHARVENSOD,SPELGATTI NICOLETTA,35,LEGA NORD,
CHARVENSOD,BUILLET FABRIZIO,25,FARE PER FERMARE IL DECLINO,
CHARVENSOD,BRINGHEN LUCA,22,UNIONE DI CENTRO,
CHARVENSOD,LADU ANDREA,7,CASAPOUND ITALIA,
CHARVENSOD,CAMPION EROS,2,NATION VAL D'OUTA,
CHATILLON,VIERIN LAURENT,746,UNION VALDOTAINE PROGRESSISTE,
CHATILLON,MARGUERETTAZ RUDI FRANCO,724,VALLEE D'AOSTE,
CHATILLON,COGNETTA ROBERTO UGO MASSIMO,560,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,
CHATILLON,GUICHARDAZ JEAN PIERRE,491,AUTONOMIE LIBERTE' DEMOCRATIE,
CHATILLON,MELONI GIORGIA,110,FRATELLI D'ITALIA,
CHATILLON,SPELGATTI NICOLETTA,92,LEGA NORD,
CHATILLON,BRINGHEN LUCA,33,UNIONE DI CENTRO,
CHATILLON,BUILLET FABRIZIO,25,FARE PER FERMARE IL DECLINO,
CHATILLON,LADU ANDREA,18,CASAPOUND ITALIA,
CHATILLON,CAMPION EROS,10,NATION VAL D'OUTA,
COGNE,VIERIN LAURENT,273,UNION VALDOTAINE PROGRESSISTE,
COGNE,MARGUERETTAZ RUDI FRANCO,178,VALLEE D'AOSTE,
COGNE,COGNETTA ROBERTO UGO MASSIMO,125,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,
COGNE,GUICHARDAZ JEAN PIERRE,120,AUTONOMIE LIBERTE' DEMOCRATIE,
COGNE,SPELGATTI NICOLETTA,36,LEGA NORD,
COGNE,MELONI GIORGIA,19,FRATELLI D'ITALIA,
COGNE,BRINGHEN LUCA,7,UNIONE DI CENTRO,
COGNE,BUILLET FABRIZIO,5,FARE PER FERMARE IL DECLINO,
COGNE,LADU ANDREA,3,CASAPOUND ITALIA,
COGNE,CAMPION EROS,2,NATION VAL D'OUTA,
COURMAYEUR,MARGUERETTAZ RUDI FRANCO,457,VALLEE D'AOSTE,
COURMAYEUR,VIERIN LAURENT,294,UNION VALDOTAINE PROGRESSISTE,
COURMAYEUR,COGNETTA ROBERTO UGO MASSIMO,239,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,
COURMAYEUR,GUICHARDAZ JEAN PIERRE,165,AUTONOMIE LIBERTE' DEMOCRATIE,
COURMAYEUR,MELONI GIORGIA,141,FRATELLI D'ITALIA,
COURMAYEUR,SPELGATTI NICOLETTA,104,LEGA NORD,
COURMAYEUR,BRINGHEN LUCA,37,UNIONE DI CENTRO,
COURMAYEUR,BUILLET FABRIZIO,27,FARE PER FERMARE IL DECLINO,
COURMAYEUR,LADU ANDREA,16,CASAPOUND ITALIA,
COURMAYEUR,CAMPION EROS,5,NATION VAL D'OUTA,
DONNAS,MARGUERETTAZ RUDI FRANCO,440,VALLEE D'AOSTE,
DONNAS,VIERIN LAURENT,394,UNION VALDOTAINE PROGRESSISTE,
DONNAS,COGNETTA ROBERTO UGO MASSIMO,296,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,
DONNAS,GUICHARDAZ JEAN PIERRE,267,AUTONOMIE LIBERTE' DEMOCRATIE,
DONNAS,SPELGATTI NICOLETTA,46,LEGA NORD,
DONNAS,MELONI GIORGIA,42,FRATELLI D'ITALIA,
DONNAS,BRINGHEN LUCA,18,UNIONE DI CENTRO,
DONNAS,BUILLET FABRIZIO,17,FARE PER FERMARE IL DECLINO,
DONNAS,LADU ANDREA,6,CASAPOUND ITALIA,
DONNAS,CAMPION EROS,1,NATION VAL D'OUTA,
DOUES,MARGUERETTAZ RUDI FRANCO,110,VALLEE D'AOSTE,
DOUES,VIERIN LAURENT,103,UNION VALDOTAINE PROGRESSISTE,
DOUES,GUICHARDAZ JEAN PIERRE,48,AUTONOMIE LIBERTE' DEMOCRATIE,
DOUES,COGNETTA ROBERTO UGO MASSIMO,26,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,
DOUES,SPELGATTI NICOLETTA,8,LEGA NORD,
DOUES,BRINGHEN LUCA,4,UNIONE DI CENTRO,
DOUES,MELONI GIORGIA,3,FRATELLI D'ITALIA,
DOUES,BUILLET FABRIZIO,1,FARE PER FERMARE IL DECLINO,
DOUES,LADU ANDREA,0,CASAPOUND ITALIA,
DOUES,CAMPION EROS,0,NATION VAL D'OUTA,
EMARESE,MARGUERETTAZ RUDI FRANCO,57,VALLEE D'AOSTE,
EMARESE,VIERIN LAURENT,46,UNION VALDOTAINE PROGRESSISTE,
EMARESE,COGNETTA ROBERTO UGO MASSIMO,22,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,
EMARESE,GUICHARDAZ JEAN PIERRE,12,AUTONOMIE LIBERTE' DEMOCRATIE,
EMARESE,MELONI GIORGIA,6,FRATELLI D'ITALIA,
EMARESE,BRINGHEN LUCA,3,UNIONE DI CENTRO,
EMARESE,LADU ANDREA,1,CASAPOUND ITALIA,
EMARESE,BUILLET FABRIZIO,1,FARE PER FERMARE IL DECLINO,
EMARESE,SPELGATTI NICOLETTA,0,LEGA NORD,
